1640,-5.42,389206.073
1645,-3.93,389211.096
1650,-3.06,389216.119
1655,-1.51,389221.142
1660,-0.49,389226.166
1665,0.43,389231.189
1670,1.95,389236.212
1675,3.27,389241.235
1680,3.87,389246.258
1685,5.34,389251.282
1690,6.59,389256.305
1695,7.35,389261.328
1700,8.63,389266.351
1705,9.8,389271.375
1710,10.46,389276.398
1715,11.93,389281.421
1720,13.3,389286.444
1725,13.71,389291.467
1730,15.12,389296.491
1735,16.56,389301.514
1740,17,389306.537
1745,18.2,389311.56
1750,19.27,389316.583
1755,19.58,389321.607
1760,20.53,389326.63
1765,21.18,389331.653
1770,21.51,389336.676
1775,22.34,389341.699
1780,23.2,389346.723
1785,23.55,389351.746
1790,24.26,389356.769
1795,25.17,389361.792
1800,2,389366.815
1805,26.31,389371.839
1810,27.09,389376.862
1815,27.7,389381.885
1820,27.9,389386.908
1825,28.52,389391.932
1830,29.38,389396.955
1835,29.6,389401.978
1840,30.26,389407.001
1845,30.72,389412.024
1850,30.95,389417.048
1855,31.41,389422.071
1860,32.13,389427.094
1865,32.38,389432.117
1870,32.87,389437.14
1875,33.13,389442.164
1880,33.38,389447.187
1885,34.16,389452.21
1890,34.43,389457.233
1895,34.69,389462.256
1900,34.97,389467.28
1905,35.52,389472.303
1910,35.8,389477.326
1915,36.37,389482.349
1920,36.66,389487.373
1925,36.95,389492.396
1930,37.25,389497.419
1935,37.55,389502.442
1940,37.86,389507.465
1945,38.48,389512.489
1950,38.79,389517.512
1955,38.79,389522.535
1960,39.11,389527.558
1965,39.44,389532.581
1970,39.77,389537.605
1975,40.1,389542.628
1980,40.44,389547.651
1985,40.44,389552.674
1990,40.78,389557.697
1995,41.12,389562.721
2000,41.47,389567.744
2005,41.83,389572.767
2010,42.19,389577.79
2015,42.19,389582.813
2020,42.55,389587.837
2025,42.92,389592.86
2030,42.92,389597.883
2035,43.29,389602.906
2040,43.67,389607.93
2045,43.67,389612.953
2050,43.67,389617.976
2055,43.67,389622.999
2060,44.06,389628.022
2065,44.45,389633.046
2070,44.45,389638.069
2075,44.45,389643.092
2080,44.84,389648.115
2085,45.24,389653.138
2090,45.24,389658.162
2095,45.65,389663.185
2100,45.65,389668.208
2105,46.06,389673.231
2110,46.06,389678.254
2115,46.06,389683.278
2120,46.48,389688.301
2125,46.48,389693.324
2130,46.91,389698.347
2135,47.34,389703.37
2140,47.34,389708.394
2145,47.34,389713.417
2150,47.34,389718.44
2155,47.34,389723.463
2160,47.77,389728.487
2165,47.77,389733.51
2170,48.21,389738.533
2175,48.21,389743.556
2180,48.66,389748.579
2185,48.66,389753.603
2190,48.66,389758.626
2195,49.12,389763.649
2200,48.66,389768.672
2205,49.12,389773.695
2210,49.12,389778.719
2215,49.12,389783.742
2220,49.58,389788.765
2225,49.58,389793.788
2230,49.58,389798.811
2235,50.05,389803.835
2240,50.05,389817.297
2245,50.05,389822.321
2250,50.05,389827.344
2255,50.53,389832.367
2260,50.05,389837.39
2265,50.05,389842.414
2270,50.05,389847.437
2275,50.53,389852.46
2280,50.53,389857.483
2285,50.53,389862.506
